date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:12	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c837f-239b%22	https://themewagon.github.io/robots.txt		(from )
13:22:12	27841/27841	---M-Z	200	added ('OK')	text/html	etag:W/%22639ab280-6cc1%22	https://themewagon.github.io/darkpan/	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/index.html	(from )
13:22:12	13311/13311	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22639ab280-33ff%22	https://themewagon.github.io/darkpan/img/favicon.ico	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/img/favicon.ico	(from https://themewagon.github.io/darkpan/)
13:22:14	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	D:/Umer/new%20project/admin%20temp2/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/darkpan/)
13:22:14	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	D:/Umer/new%20project/admin%20temp2/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/darkpan/)
13:22:15	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639ab280-b78%22	https://themewagon.github.io/darkpan/lib/owlcarousel/assets/owl.carousel.min.css	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/darkpan/)
13:22:15	9060/9060	---M-Z	200	added ('OK')	text/css	etag:W/%22639ab280-2364%22	https://themewagon.github.io/darkpan/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from https://themewagon.github.io/darkpan/)
13:22:15	164122/164122	---M-Z	200	added ('OK')	text/css	etag:W/%22639ab280-2811a%22	https://themewagon.github.io/darkpan/css/bootstrap.min.css	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/css/bootstrap.min.css	(from https://themewagon.github.io/darkpan/)
13:22:15	5323/5323	---M-Z	200	added ('OK')	text/css	etag:W/%22639ab280-14cb%22	https://themewagon.github.io/darkpan/css/style.css	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/css/style.css	(from https://themewagon.github.io/darkpan/)
13:22:16	27841/27841	---M-Z	200	added ('OK')	text/html	etag:W/%22639ab280-6cc1%22	https://themewagon.github.io/darkpan/index.html	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/index-2.html	(from https://themewagon.github.io/darkpan/)
